m,L,P,r,T,rho,epsilon,kappa,del_rad,del_ad,del_actual,convective
6.182027027779622e+32,2.0814954935228408e+33,3.913892849719684e+16,14461362664.12673,8699606.867480176,33.28598676602245,0.7747586905487637,2.9506467902010085,0.2676381868567103,0.3995581183207022,0.2676381868567103,0
6.191981982732586e+32,2.0822652329387784e+33,3.906425131759172e+16,14472741714.236126,8695162.26515211,33.23946059979316,0.7717643520737403,2.952524127444356,0.26751270744228217,0.399558177519196,0.26751270744228217,0
6.20193693768555e+32,2.0830319965443478e+33,3.898968882359428e+16,14484118788.931164,8690720.359086893,33.1929741641145,0.7687808081470775,2.9544012718667,0.26738719089825713,0.39955823630920634,0.26738719089825713,0
6.211891892638514e+32,2.0837957951504706e+33,3.891524080478824e+16,14495493914.64271,8686281.14389124,33.14652740465589,0.7658080199454737,2.956278222472263,0.26726163680125203,0.39955829469051346,0.26726163680125203,0
6.221846847591478e+32,2.0845566395298783e+33,3.884090705149062e+16,14506867117.746237,8681844.61419816,33.10012026731068,0.7628459488044378,2.9581549782504513,0.26713604472678965,0.3995583526628944,0.26713604472678965,0
6.231801802544442e+32,2.085314540417113e+33,3.876668735475179e+16,14518238424.561832,8677410.764666978,33.05375269819782,0.7598945562175651,2.9600315381758526,0.2670104142492901,0.39955841022612,0.2670104142492901,0
6.241756757497406e+32,2.086069508508526e+33,3.869258150635539e+16,14529607861.354195,8672979.589983314,33.007424643663605,0.7569538038358226,2.961907901208235,0.2668847449420652,0.39955846737995826,0.2668847449420652,0
6.25171171245037e+32,2.086821554462281e+33,3.861858929881839e+16,14540975454.332632,8668551.084859101,32.9611360502833,0.7540236534668306,2.963784066292543,0.2667590363773092,0.39955852412417264,0.2667590363773092,0
6.261666667403334e+32,2.08757068889835e+33,3.8544710525391064e+16,14552341229.651064,8664125.244032567,32.91488686486291,0.7511040670741677,2.965660032358899,0.26663328812609455,0.3995585804585219,0.26663328812609455,0
6.2716216223562976e+32,2.0883169223985158e+33,3.847094498005701e+16,14563705213.40802,8659702.062268252,32.86867703444083,0.7481950067766474,2.967535798322581,0.2665074997583627,0.39955863638276096,0.2665074997583627,0
